ANIME_RANK,ANIME_TITLE,YEAR,IMDB_RATING
1,Jujutsu Kaisen,(2020– ),8.6
2,One Piece: Wan pîsu,(1999– ),8.9
3,Shingeki no Kyojin,(2013–2023),9
4,Kimetsu no Yaiba,(2019– ),8.6
5,Bleach: Sennen Kessen-hen,(2022– ),9
6,Naruto: Shippûden,(2007–2017),8.7
7,Naruto,(2002–2007),8.4
8,Hunter x Hunter,(2011–2014),9
9,Boku no hîrô akademia,(2016– ),8.3
10,Kage no Jitsuryokusha ni Naritakute!,(2022– ),7.8
11,Spy x Family,(2022– ),8.4
12,Vinland Saga,(2019–2023),8.8
13,Tokyo Revengers,(2021– ),7.9
14,Death Note: Desu nôto,(2006–2007),8.9
15,Bleach: Burîchi,(2004–2023),8.2
16,Chainsaw Man,(2022– ),8.4
17,JoJo no Kimyô na Bôken,(2012– ),8.5
18,Kenpuu Denki Berserk,(1997–1998),8.7
19,Hagane no renkinjutsushi,(2009–2010),9.1
20,One Punch Man: Wanpanman,(2015–2019),8.7
21,Dragon Ball Z,(1989–1996),8.8
22,Black Clover,(2017–2021),8.3
23,Monster,(2004–2005),8.7
24,Kaubôi bibappu: Cowboy Bebop,(1998–1999),8.9
25,Dr. Stone,(2019– ),8.1
26,Goblin Slayer,(2018– ),7.5
27,Shinseiki Evangelion,(1995–1996),8.5
28,Boruto: Naruto Next Generations,(2017– ),6.5
29,Mushoku-tensei ~Isekai ittara honki dasu~,(2021– ),8.4
30,Gintama,(2005–2021),8.7
31,Nanatsu no taizai,(2014–2021),7.8
32,Tate no Yuusha no Nariagari,(2019– ),7.9
33,Code Geass: Hangyaku no Lelouch,(2006–2008),8.7
34,Haikyuu!!,(2014–2020),8.7
35,Tengoku daimakyô,(2023),8
36,Watashi no Shiawase na Kekkon,(2023– ),7.9
37,Sword Art Online,(2012– ),7.5
38,Steins;Gate,(2011–2015),8.8
39,Mob Psycho 100,(2016–2022),8.6
40,Fairy Tail,(2009–2019),7.9
41,Sono Bisque Doll wa Koi wo Suru,(2022),8
42,Re:Zero kara Hajimeru Isekai Seikatsu,(2016– ),8.1
43,High School DxD,(2012–2018),7.6
44,Kaguya-sama wa kokurasetai ~ Tensai tachi no ren'ai zunô sen ~,(2019–2023),8.5
45,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,(2015–2023),7.4
46,Yakusoku no Neverland,(2019–2021),8.2
47,Shûmatsu no Valkyrie,(2021– ),6.4
48,Yôkoso jitsuryoku shijô shugi no kyôshitsu e,(2017– ),7.7
49,Fruits Basket,(2019–2021),8.6
50,Kiseijû: Sei no kakuritsu,(2014–2015),8.3
